largest exponential line index : 709
largest exponential value : 6919995.55

line	value
505		6919868.83
506		6919939.88
507		6919874.91
508		6919977.10
509		6919921.85
510		6919856.94
511		6919905.05
512		6919929.50
513		6919965.01
514		6919932.51
515		6919853.16
516		6919906.69
517		6919929.63
518		6919961.01
519		6919920.45
520		6919875.78
521		6919891.76
522		6919910.39
523		6919954.51
524		6919907.93
525		6919869.56
526		6919931.21
527		6919976.41
528		6919917.73
529		6919860.66
530		6919909.10
531		6919880.55
532		6919947.32
533		6919947.82
534		6919892.73
535		6919963.72
536		6919860.14
537		6919958.87
538		6919869.43
539		6919981.17
540		6919975.25
541		6919923.30
542		6919945.97
543		6919964.18
544		6919901.01
545		6919963.27
546		6919983.13
547		6919926.84
548		6919917.52
549		6919926.39
550		6919943.48
551		6919929.68
552		6919929.14
553		6919912.68
554		6919901.29
555		6919969.64
556		6919952.55
557		6919910.76
558		6919913.49
559		6919866.26
560		6919935.42
561		6919877.90
562		6919877.69
563		6919884.72
564		6919959.04
565		6919961.46
566		6919878.02
567		6919942.19
568		6919861.98
569		6919942.36
570		6919876.40
571		6919961.82
572		6919887.98
573		6919945.20
574		6919930.47
575		6919979.64
576		6919923.75
577		6919896.40
578		6919992.80
579		6919902.02
580		6919983.84
581		6919875.47
582		6919923.62
583		6919922.34
584		6919990.75
585		6919886.58
586		6919929.88
587		6919948.77
588		6919983.75
589		6919946.89
590		6919861.67
591		6919929.29
592		6919928.15
593		6919877.93
594		6919886.69
595		6919878.81
596		6919921.29
597		6919867.93
598		6919934.23
599		6919883.49
600		6919960.95
601		6919963.90
602		6919907.40
603		6919980.95
604		6919881.92
605		6919906.30
606		6919965.82
607		6919865.85
608		6919881.11
609		6919905.37
610		6919972.16
611		6919955.36
612		6919961.27
613		6919925.78
614		6919918.92
615		6919969.76
616		6919947.89
617		6919865.74
618		6919920.81
619		6919931.92
620		6919911.22
621		6919878.98
622		6919962.66
623		6919928.96
624		6919938.03
625		6919925.77
626		6919947.58
627		6919901.17
628		6919902.38
629		6919975.75
630		6919988.58
631		6919934.61
632		6919911.39
633		6919925.03
634		6919970.33
635		6919939.26
636		6919859.93
637		6919962.25
638		6919956.35
639		6919899.49
640		6919936.49
641		6919893.34
642		6919951.80
643		6919872.11
644		6919901.64
645		6919973.52
646		6919850.44
647		6919934.18
648		6919872.01
649		6919866.87
650		6919904.44
651		6919923.41
652		6919913.96
653		6919971.70
654		6919964.21
655		6919918.59
656		6919881.43
657		6919907.46
658		6919976.76
659		6919860.84
660		6919915.92
661		6919909.04
662		6919922.35
663		6919876.17
664		6919892.47
665		6919887.29
666		6919975.70
667		6919882.69
668		6919980.42
669		6919892.54
670		6919950.25
671		6919864.47
672		6919979.99
673		6919907.08
674		6919854.90
675		6919914.21
676		6919964.64
677		6919942.99
678		6919889.27
679		6919881.19
680		6919895.55
681		6919918.84
682		6919912.75
683		6919964.80
684		6919874.42
685		6919895.89
686		6919909.73
687		6919913.86
688		6919905.42
689		6919856.51
690		6919864.95
691		6919920.09
692		6919860.99
693		6919945.21
694		6919894.10
695		6919854.58
696		6919931.83
697		6919957.12
698		6919947.89
699		6919946.52
700		6919898.51
701		6919977.13
702		6919963.21
703		6919931.36
704		6919946.40
705		6919978.12
706		6919974.54
707		6919905.46
708		6919914.41
709		6919995.55
710		6919930.52
711		6919950.81
712		6919933.62
713		6919949.00
714		6919958.73
715		6919979.06
716		6919958.17
717		6919928.90
718		6919962.14
719		6919945.38
720		6919906.89
721		6919947.41
722		6919921.09
723		6919966.44
724		6919920.59
725		6919883.56
726		6919971.02
727		6919928.33
728		6919938.15
729		6919962.68
730		6919928.30
731		6919930.01
732		6919882.96
733		6919867.99
734		6919901.54
735		6919976.97
736		6919970.30
737		6919869.44
738		6919934.60
739		6919935.46
740		6919928.18
741		6919868.02
742		6919860.70
743		6919927.41
744		6919877.80
745		6919960.94
746		6919963.47
747		6919961.31
748		6919954.02
749		6919970.50
750		6919891.85
751		6919924.06
752		6919934.79
753		6919942.73
754		6919893.31
755		6919920.14
756		6919990.48
757		6919883.96
758		6919883.09
759		6919977.50
760		6919940.35
761		6919914.50
762		6919939.32
763		6919979.37
764		6919976.68
765		6919976.12
766		6919928.04
767		6919925.83
768		6919968.48
769		6919875.14
770		6919917.28
771		6919951.70
772		6919890.57
773		6919897.39
774		6919872.08
775		6919976.79
776		6919895.69
777		6919885.23
778		6919963.60
779		6919967.70
780		6919869.50
781		6919940.74
782		6919859.07
783		6919872.12
784		6919881.76
785		6919885.73
786		6919963.89
787		6919934.36
788		6919958.05
789		6919965.47
790		6919944.53
791		6919927.07
792		6919964.61
793		6919959.23
794		6919889.15
795		6919869.83
796		6919966.52
797		6919969.17
798		6919947.73
799		6919934.51
800		6919961.32
801		6919895.11
802		6919932.76
803		6919864.48
804		6919981.66
805		6919957.68
806		6919971.82
807		6919982.52
808		6919896.54
809		6919980.59
810		6919970.68
811		6919915.95
812		6919888.50
813		6919863.61
814		6919907.08
815		6919970.39
816		6919909.77
817		6919902.12
818		6919911.54
819		6919907.29
820		6919873.49
821		6919921.14
822		6919925.43
823		6919922.49
824		6919915.77
825		6919893.22
826		6919948.88
827		6919887.95
828		6919861.39
829		6919987.82
830		6919868.96
831		6919902.31
832		6919877.04
833		6919966.04
834		6919895.47
835		6919954.49
836		6919965.48
837		6919949.39
838		6919940.60
839		6919874.15
840		6919907.80
841		6919926.76
842		6919913.15
843		6919936.82
844		6919915.38
845		6919894.54
846		6919930.66
847		6919972.41
848		6919921.18
849		6919938.52
850		6919887.52
851		6919887.42
852		6919898.83
853		6919886.67
854		6919856.67
855		6919857.72
856		6919960.90
857		6919882.90
858		6919875.92
859		6919948.05
860		6919968.23
861		6919940.99
862		6919953.88
863		6919987.55
864		6919976.94
865		6919882.70
866		6919973.68
867		6919980.58
868		6919870.87
869		6919930.62
870		6919943.76
871		6919908.87
872		6919976.08
873		6919979.96
874		6919935.75
875		6919959.14
876		6919966.17
877		6919934.76
878		6919948.17
879		6919927.48
880		6919950.76
881		6919883.64
882		6919921.82
883		6919882.55
884		6919915.13
885		6919911.85
886		6919904.58
887		6919921.21
888		6919867.26
889		6919937.71
890		6919966.48
891		6919956.76
892		6919940.53
893		6919982.76
894		6919899.55
895		6919957.75
896		6919922.16
897		6919900.94
898		6919946.55
899		6919868.90
900		6919985.25
901		6919922.28
902		6919889.78
903		6919891.12
904		6919972.91
905		6919950.42
906		6919952.98
907		6919864.80
908		6919942.15
909		6919900.12
910		6919893.00
911		6919986.61
912		6919913.69
913		6919889.58
914		6919907.77
915		6919951.15
916		6919978.44
917		6919898.43
918		6919959.14
919		6919873.49
920		6919925.30
921		6919972.06
922		6919874.01
923		6919929.89
924		6919914.61
925		6919908.80
926		6919944.91
927		6919877.18
928		6919854.96
929		6919941.44
930		6919943.83
931		6919897.50
932		6919959.67
933		6919937.26
934		6919915.25
935		6919972.85
936		6919942.14
937		6919959.19
938		6919986.94
939		6919945.34
940		6919886.36
941		6919942.66
942		6919903.82
943		6919918.17
944		6919944.04
945		6919870.36
946		6919907.01
947		6919986.66
948		6919991.76
949		6919883.51
950		6919953.16
951		6919859.44
952		6919926.37
953		6919892.63
954		6919880.30
955		6919914.16
956		6919936.43
957		6919983.37
958		6919900.15
959		6919872.11
960		6919970.15
961		6919901.44
962		6919898.22
963		6919968.95
964		6919971.96
965		6919904.23
966		6919954.36
967		6919925.11
968		6919925.79
969		6919945.75
970		6919948.41
971		6919873.23
972		6919964.24
973		6919976.47
974		6919891.53
975		6919896.32
976		6919968.60
977		6919981.38
978		6919921.00
979		6919882.58
980		6919964.00
981		6919873.96
982		6919900.81
983		6919944.25
984		6919885.15
985		6919980.65
986		6919899.94
987		6919930.73
988		6919903.46
989		6919869.57
990		6919894.31
991		6919877.13
992		6919876.17
993		6919944.52
994		6919959.65
995		6919854.26
996		6919897.82
997		6919988.73
998		6919889.92
999		6919916.17
1000		6919951.94
